PPN;EPN;Jahr;VD
567977846;;1601;
567776174;;1601;
784855013;;1600;
784854513;;1600;
728627728;;1600;
568230248;;1600;
568220323;123600685;1600;
568214560;;1600;
568168674;;1600;
568144759;;1600;
568144740;556102126;1600;
568105087;;1600;
568086112;;1600;
568056647;;1600;
568050924;122746643;1600;
568050916;;1600;
568040465;123679141;1600;
568040465;132023539;1600;
568040465;132023547;1600;
568040465;132023555;1600;
568040465;132023563;1600;
568034759;;1600;
56803158X;131805592;1600;
56803158X;131805606;1600;
56803158X;131805614;1600;
568005163;12353951X;1600;
567991997;123603226;1600;
567955648;127297332;1600;
567955648;127297340;1600;
567955648;127297359;1600;
567955648;127297367;1600;
567938190;;1600;
567936287;;1600;
567917185;;1600;
56790184X;;1600;
56788550X;;1600;
567881628;123603498;1600;
567881628;12360348X;1600;
567881628;123603501;1600;
567881628;12360351X;1600;
567881628;123603528;1600;
567862046;;1600;
567785092;;1600;
567783383;131942123;1600;
567783383;178419087;1600;
567777065;190980478;1600;
567777065;19098046X;1600;
567777065;223395323;1600;
567768333;;1600;
567757978;122826698;1600;
567757978;122826701;1600;
567746356;;1600;
567738396;;1600;
567727114;;1600;
56772610X;;1600;
567724190;;1600;
567724123;;1600;
567708640;;1600;
567707857;;1600;
567678733;;1600;
567678431;;1600;
567675955;289011825;1600;
567663310;289762510;1600;
567632709;;1600;
567628973;290981212;1600;
567627918;;1600;
567627195;;1600;
567624676;291624316;1600;
56757718X;289765234;1600;
567571939;;1600;
56755922X;28922294X;1600;
567549704;;1600;
567545644;;1600;
567524442;;1600;
567518280;;1600;
567509109;;1600;
567462323;;1600;
567430928;;1600;
567418073;;1600;
567353060;123644348;1600;
567353060;12364433X;1600;
567353060;123644356;1600;
567348776;123602564;1600;
567348776;123601789;1600;
567339920;126726469;1600;
567332586;;1600;
567300803;123603021;1600;
567300633;;1600;
567276619;123469805;1600;
567273725;;1600;
567255441;122831462;1600;
567251055;122822846;1600;
567251055;378968483;1600;
567234010;126719160;1600;
567211819;;1600;
567211169;;1600;
567206688;289699029;1600;
558994202;;1600;
784849692;;1599;
568232232;142341851;1599;
568232232;14234186X;1599;
568224833;142328235;1599;
568224833;142328243;1599;
568216644;127328459;1599;
568216644;127328467;1599;
568216644;232549885;1599;
568212347;;1599;
568161637;;1599;
568137825;25262582X;1599;
568137825;252625838;1599;
568137825;573987386;1599;
568070712;132558289;1599;
568070712;132558297;1599;
568052382;;1599;
567996638;;1599;
56799659X;1869336097;1599;
567977870;181408848;1599;
567965740;;1599;
567959570;;1599;
567943860;;1599;
567936759;152021248;1599;
567936759;152021256;1599;
567886018;123601541;1599;
567886018;123601533;1599;
567867749;;1599;
567756203;;1599;
567738108;;1599;
567730875;;1599;
567728889;;1599;
567704173;;1599;
567697258;;1599;
567691411;;1599;
56769139X;;1599;
567687929;;1599;
567654346;;1599;
567646599;;1599;
56763244X;;1599;
56762899X;;1599;
567588114;;1599;
567571122;123599628;1599;
567571122;123599636;1599;
567551636;293377693;1599;
567527883;12387503X;1599;
567526194;123476224;1599;
567525317;123031109;1599;
567518248;170972194;1599;
56751563X;;1599;
567462188;230600514;1599;
567429520;;1599;
567418723;;1599;
567327868;;1599;
567327248;124697224;1599;
567327248;240174526;1599;
567327248;240177800;1599;
567327248;240177819;1599;
567327248;240177827;1599;
567323870;124788947;1599;
567323870;124788955;1599;
567323870;124788963;1599;
567323870;273215078;1599;
567287769;12282217X;1599;
567286908;123232392;1599;
56727926X;136231322;1599;
567257436;123601495;1599;
567256804;123603056;1599;
567256804;123603064;1599;
567225380;122826426;1599;
567225380;122826434;1599;
567185257;;1599;
558994555;;1599;
728622610;;1598;
610005030;;1598;
568232240;;1598;
568229592;123600707;1598;
568229592;123600693;1598;
568226704;;1598;
568226100;;1598;
568221753;;1598;
568188748;;1598;
568176669;;1598;
568135946;;1598;
568114027;;1598;
568034767;;1598;
568005155;217429076;1598;
567995771;123506077;1598;
567995771;123506085;1598;
567995771;123506093;1598;
567995771;1238687261;1598;
567995771;1238687334;1598;
567995607;123505437;1598;
567995607;123505445;1598;
567995607;123505453;1598;
567995607;123505461;1598;
567995607;12350547X;1598;
567970191;;1598;
567928985;;1598;
567893642;;1598;
567874559;123411254;1598;
567874559;123411262;1598;
567874559;123411270;1598;
567874559;123411289;1598;
567874559;123411297;1598;
567874559;175002339;1598;
567874559;175002347;1598;
567859258;123603390;1598;
567859258;128564784;1598;
567796264;;1598;
567789314;;1598;
567769550;;1598;
56775295X;;1598;
56775023X;;1598;
567749924;;1598;
567726142;;1598;
567724816;;1598;
56767262X;;1598;
567672530;;1598;
567622746;;1598;
567606007;;1598;
56760599X;;1598;
567605981;;1598;
567605973;;1598;
567605965;;1598;
567605957;;1598;
567585409;;1598;
567584461;;1598;
567555240;;1598;
567543064;;1598;
567505715;;1598;
567502139;283869992;1598;
567472221;;1598;
567450872;;1598;
567425584;;1598;
567422623;12493319X;1598;
567422623;124933203;1598;
567422623;129627755;1598;
567422623;129627763;1598;
567422623;140711805;1598;
56737193X;;1598;
567352226;;1598;
567333000;122822749;1598;
567328783;;1598;
567309797;;1598;
567302490;126722242;1598;
567296997;;1598;
567295893;;1598;
567255654;123505534;1598;
567255654;123505496;1598;
567255654;12350550X;1598;
567255654;123505518;1598;
567255654;123505526;1598;
567255654;123505488;1598;
567209504;122822188;1598;
567190153;;1598;
567190021;;1598;
567190005;;1598;
567189996;;1598;
567186199;;1598;
567185559;;1598;
558994121;;1598;
784850992;;1597;
568224922;;1597;
568216156;;1597;
568213084;;1597;
568186664;;1597;
568172264;123031087;1597;
568151259;;1597;
56812233X;138381577;1597;
568120612;;1597;
568116798;;1597;
568104412;122994876;1597;
568080114;290977622;1597;
568080114;290977630;1597;
568080114;290977649;1597;
568080114;290977657;1597;
568080114;290977738;1597;
568076249;;1597;
568073746;223674273;1597;
568073746;290974771;1597;
568073746;29097478X;1597;
56807159X;;1597;
568068793;;1597;
568055365;;1597;
568055357;;1597;
568055292;;1597;
568055225;;1597;
568034740;123391296;1597;
568033299;;1597;
568031555;290973678;1597;
568031555;290973686;1597;
568016572;;1597;
568011317;;1597;
568005198;217426166;1597;
56800518X;217408761;1597;
567977889;124590179;1597;
567977889;18140530X;1597;
