PPN;EPN;Jahr
418834296;;1710
91921732;123616824;1708
91987628;;1703
91987601;;1702
683674099;71899048X;1701
549939164;;1701
160020468;233115145;1701
1139979779;;1700
1133658407;;1700
1107986230;;1700
1098721004;;1700
814383203;;1700
720120071;;1700
716018209;;1700
715189018;;1700
635979411;;1700
635979357;;1700
635307707;;1700
607229225;;1700
585640033;;1700
577268481;;1700
549935185;;1700
549902945;;1700
549902929;;1700
549902910;;1700
537302840;;1700
537251499;;1700
537234578;;1700
537231064;;1700
537230823;;1700
537174117;;1700
53709055X;127862307;1700
536973202;;1700
536970912;;1700
536736952;1179967283;1700
536735778;124241603;1700
536696780;1109363729;1700
536696039;921349920;1700
536695989;921306121;1700
53669592X;921285116;1700
536695911;921284659;1700
536695903;921283873;1700
53669589X;921283318;1700
536694125;883157446;1700
536646465;;1700
536623937;127859896;1700
536621101;;1700
536621039;889108145;1700
536447551;;1700
53631604X;;1700
536066906;;1700
536060282;227060881;1700
536055246;123500214;1700
536038899;1178923770;1700
536016216;;1700
535952384;;1700
535908113;;1700
535792115;;1700
535787316;;1700
535704909;1178907589;1700
535679807;;1700
535669232;342345184;1700
535657005;;1700
535411014;941261395;1700
535406959;933710321;1700
535406819;25691446X;1700
535406746;930505506;1700
53540672X;223793043;1700
535406673;930503082;1700
535406649;930503996;1700
53540655X;930502221;1700
535406398;924573139;1700
535406363;924572671;1700
535406339;924087277;1700
535406312;924086106;1700
535406304;924085371;1700
535383185;1182007422;1700
535383061;1175159751;1700
535378580;1246549042;1700
53537528X;1164949179;1700
535374828;174704003;1700
99013800;;1700
98998897;12382379X;1700
09899817X;;1700
92332366;;1700
92317332;142139033;1700
92313663;124241611;1700
92303803;266615031;1700
92277381;;1700
92275214;;1700
92260519;;1700
92250165;;1700
92246907;;1700
09224436X;245025251;1700
92238874;;1700
92233945;667537341;1700
92233937;123823854;1700
92231128;;1700
09221567X;;1700
92215661;;1700
92212751;66762483X;1700
92135544;;1700
92134483;53248794X;1700
92081991;;1700
92057470;193835665;1700
92057217;869793144;1700
92055532;123811619;1700
92055524;123811600;1700
92009077;;1700
91997534;247041769;1700
09198551X;;1700
91984734;;1700
91979528;122929519;1700
91970369;127897364;1700
91941326;;1700
91859026;;1700
91853281;1174910968;1700
91851580;1199533238;1700
91824974;910025444;1700
91824966;910025282;1700
91824958;910025169;1700
09182494X;;1700
91824931;;1700
91824923;;1700
91824915;;1700
103112389X;1810449677;1699
1031123865;1810449618;1699
814174388;;1699
734934173;;1699
607229217;;1699
58983553X;;1699
537188576;;1699
537157093;12418166X;1699
537151613;123407362;1699
537065350;123569443;1699
537039597;;1699
537038531;;1699
537026983;;1699
536997411;;1699
536996792;142141380;1699
53673836X;1224959876;1699
536734453;1205750614;1699
536705208;122769899;1699
536694079;883155982;1699
53669169X;869790064;1699
536658250;123811589;1699
536646457;;1699
536646406;;1699
536621012;889108722;1699
536620962;;1699
536620946;;1699
536594562;;1699
536501572;134634012;1699
536283575;;1699
53599348X;;1699
535979347;123163897;1699
535979290;;1699
535938365;;1699
535792468;;1699
53579116X;;1699
535758766;;1699
535729316;869773542;1699
535695969;;1699
535634714;;1699
535406797;930507878;1699
535406789;930507185;1699
535406754;930506405;1699
535402112;124181643;1699
535378556;1246548844;1699
535378505;1246548682;1699
535378483;124654833X;1699
535375085;1164939416;1699
99029170;;1699
99013797;;1699
92317146;227768450;1699
92313612;24702872X;1699
92313604;123407591;1699
92313590;1178905462;1699
92214703;282789766;1699
92156258;;1699
92151957;;1699
92114466;;1699
92109446;119913855X;1699
92057934;1169731716;1699
92055516;123811597;1699
92037879;123811562;1699
92035469;261201603;1699
92027717;12361676X;1699
92012124;;1699
91992796;223679380;1699
91952824;123699843;1699
1103708619;;1698
1093694823;;1698
1026968216;;1698
732068479;;1698
661879690;240317505;1698
561438943;;1698
561438927;;1698
537808922;84559785X;1698
53721108X;;1698
537203079;;1698
537185194;385134509;1698
53715700X;12332114X;1698
537136401;124996825;1698
53695318X;;1698
536827168;;1698
536736936;229929605;1698
536703701;219084750;1698
536695997;123337542;1698
536502803;1227185553;1698
536247552;;1698
536190372;;1698
536008779;;1698
535805217;;1698
535805152;;1698
535805101;;1698
535793723;;1698
535792190;;1698
535792131;;1698
535791631;;1698
535791623;124181651;1698
535791089;;1698
535791070;;1698
535790945;;1698
535776314;247085596;1698
535706642;26936899X;1698
535662009;;1698
535380003;1226472125;1698
99000156;247046388;1698
98974688;1179837606;1698
92313574;1178901009;1698
92313396;247077429;1698
92299911;;1698
92257410;;1698
92233643;;1698
92214924;;1698
92190243;545341124;1698
92189407;111027081X;1698
92186483;1224911199;1698
92111610;246998318;1698
92109241;1225047102;1698
92058051;1178904652;1698
92057497;111065894X;1698
09203506X;229936717;1698
92029698;;1698
92015670;124331769;1698
92011004;;1698
92002250;;1698
91941342;;1698
91838754;12481879X;1698
1445997045;;1697
728208636;;1697
638651719;;1697
57726785X;;1697
561438935;;1697
54993118X;;1697
537351612;;1697
537250980;;1697
537115013;;1697
53699725X;225279061;1697
536976007;127175032;1697
536771871;;1697
536742626;;1697
536742499;;1697
536736863;229932053;1697
536705267;124331750;1697
536703698;1178899195;1697
536703639;117889486X;1697
536701873;225276984;1697
536699003;1157736742;1697
536620792;;1697
536502811;123916836;1697
536235813;142170283;1697
536028907;17257417X;1697
535753985;947234233;1697
535705743;1220048836;1697
535606893;;1697
535386370;198475802;1697
535377126;1178326810;1697
535377088;1178326713;1697
535374801;123500176;1697
09900027X;1187650552;1697
98984381;229873502;1697
98984381;229873510;1697
98975897;1179837126;1697
98965522;123500249;1697
09231337X;225255634;1697
09228650X;;1697
92275737;225319683;1697
92266525;;1697
92176607;117889651X;1697
92166601;122946154;1697
92111009;254098509;1697
92057659;1163048569;1697
92057489;1110334214;1697
92043275;215288068;1697
92031846;;1697
91997550;1178900088;1697
09198100X;;1697
91968623;124331777;1697
91947413;117712095X;1697
91859085;941247392;1697
91852323;117605578X;1697
1131960610;;1696
871620847;;1696
718324242;;1696
687603587;;1696
687603579;;1696
536991685;;1696
536991294;;1696
536965161;;1696
536962987;;1696
536783896;123916828;1696
536742472;;1696
536742448;;1696
53674243X;;1696
536742332;;1696
536742227;;1696
536742200;;1696
53674212X;;1696
536736855;1179966163;1696
536736545;1199004561;1696
536736529;1224875788;1696
536243913;122975936;1696
536166110;;1696
536166102;;1696
536166064;;1696
536166048;;1696
536166021;;1696
53616598X;;1696
536165971;;1696
536165866;;1696
535915403;123463858;1696
535823037;225266768;1696
535818262;219271518;1696
53581691X;124028721;1696
535757581;124655793;1696
535751478;147499577;1696
535658214;;1696
535407262;944294707;1696
535400136;22986662X;1696
535400128;229849989;1696
535391641;1178461750;1696
535389485;1227205805;1696
53538792X;1227194978;1696
