PPN;EPN;Jahr
536351287;;1720
536332991;;1720
839829779;;1706
839829760;;1706
536334048;;1701
92043798;;1701
870101145;;1700
863210929;;1700
863210910;;1700
847297772;;1700
816861048;;1700
812722620;1508011583;1700
795376138;1501374168;1700
770547028;;1700
748883045;;1700
608766070;;1700
607694610;;1700
574699902;;1700
549934707;;1700
549934693;;1700
549913076;;1700
53733789X;;1700
537208259;;1700
537142142;;1700
537137742;;1700
53708858X;;1700
537088547;;1700
537083170;124076998;1700
536972516;;1700
536959978;;1700
536766177;;1700
536725268;185579124;1700
536718407;;1700
536714673;127555625;1700
536651183;;1700
536633363;;1700
536622302;;1700
536620733;;1700
53656275X;;1700
536562342;;1700
536562156;;1700
536561877;;1700
536497567;;1700
536475946;;1700
536463034;;1700
536463026;;1700
536459371;;1700
536453632;;1700
536453624;;1700
536453616;;1700
536453608;;1700
536376832;;1700
536341095;;1700
536338396;;1700
536330964;;1700
536330948;;1700
536330751;;1700
536329257;;1700
536329214;;1700
536329079;;1700
536329060;;1700
53632770X;;1700
536254966;;1700
536250456;;1700
536240000;;1700
536236933;;1700
536040958;12617749X;1700
536040524;691215510;1700
536036101;;1700
536036055;1500323993;1700
535969619;;1700
535947828;;1700
535942508;;1700
535902042;;1700
53588768X;;1700
535867077;124910076;1700
535833490;;1700
535817126;;1700
535815808;;1700
535815050;;1700
535800347;34397536X;1700
535755678;;1700
535742517;;1700
535726058;;1700
535705735;127588256;1700
535698429;;1700
535406800;;1700
99023350;;1700
92296939;;1700
92296912;;1700
92288537;;1700
92235905;840642598;1700
09222511X;;1700
92222196;;1700
92199712;;1700
92197574;;1700
92197159;;1700
92197140;;1700
92194508;845234714;1700
92189296;;1700
92175546;;1700
92149367;;1700
92134424;;1700
92054250;;1700
92051758;;1700
92050913;;1700
92043232;;1700
92040373;;1700
92018785;948600160;1700
91992028;;1700
09198145X;;1700
91940842;;1700
09190353X;;1700
91902614;;1700
91900867;;1700
91835437;;1700
91835429;;1700
91835410;;1700
870101137;;1699
86321035X;;1699
782371795;;1699
739264230;;1699
561903476;;1699
549934685;;1699
537263543;;1699
537187766;;1699
537164332;1146698615;1699
537143785;;1699
537140697;;1699
537114556;;1699
537086102;;1699
537069143;;1699
537057587;;1699
537057560;;1699
537057528;;1699
537056300;;1699
537056289;;1699
537050582;;1699
537021167;;1699
536988161;;1699
536973385;;1699
536955859;;1699
536890315;;1699
536887748;;1699
536793654;;1699
536721432;;1699
536720606;;1699
536630267;;1699
536628491;;1699
536626146;;1699
536607966;;1699
536572690;;1699
536547521;;1699
536547084;;1699
536470634;;1699
536465665;;1699
536462984;;1699
536454647;;1699
536438749;;1699
536423369;;1699
536340935;;1699
536330913;;1699
536330883;;1699
536330867;;1699
536330786;;1699
536329044;;1699
536328862;;1699
536327963;;1699
536303622;;1699
536266905;;1699
536235570;;1699
536230021;;1699
536226350;;1699
53621560X;;1699
536173192;;1699
536134111;;1699
53605567X;;1699
536039348;145986691;1699
535954433;;1699
535934831;;1699
535902158;;1699
535902107;;1699
535902018;;1699
535867271;;1699
535799128;;1699
535784554;;1699
53578452X;;1699
53574871X;;1699
535743335;;1699
53573283X;;1699
535726031;;1699
535722494;;1699
535712871;128550546;1699
535695365;;1699
535682190;;1699
53567726X;;1699
535672039;;1699
535643349;;1699
535617216;;1699
535588194;548769915;1699
535587163;;1699
535583478;;1699
535565550;;1699
535549725;;1699
53552546X;;1699
98985191;;1699
98970321;;1699
98966200;259354945;1699
98966197;259354821;1699
98966189;259354759;1699
92310060;356165396;1699
92304702;;1699
92302149;;1699
92283705;;1699
92266975;;1699
92254268;;1699
09223996X;;1699
92231950;;1699
92231942;;1699
92224741;;1699
92202489;;1699
09219897X;;1699
92194621;;1699
92192947;;1699
92185460;;1699
92185339;;1699
92184472;;1699
92175791;;1699
09214893X;;1699
