PPN;EPN;VD;Jahr
1048938379;;;1806
23523849X;;;1806
181585448;;;1805
77627404X;;;1804
18158543X;;;1803
776274031;;;1802
776333364;;;1801
776333348;;;1801
776234412;;;1801
1497793556;;;1800
1497792452;;;1800
1120071186;;;1800
1119632617;;;1800
1116272024;;;1800
1101697083;;;1800
1088597335;;;1800
847750590;;;1800
847750582;;;1800
833720058;;;1800
818346140;;;1800
776333356;;;1800
775064777;;;1800
775004006;;;1800
732301750;;;1800
683661043;;;1800
683597450;;;1800
683568582;;;1800
419855122;;;1800
367332477;;;1800
355172429;;;1800
327780851;;;1800
32098561X;;;1800
318578190;;;1800
223301612;227324854;;1800
215740793;;;1800
212724525;;;1800
194460320;;;1800
194460258;;;1800
181585391;;;1800
151841721;124985726;;1800
151379548;124431658;;1800
150757220;123721490;;1800
15063269X;123578523;;1800
147728177;14211412X;;1800
141298340;242100023;;1800
1505999952;;;1799
1127933310;;;1799
1112470158;;;1799
1092589708;;;1799
1005209049;;;1799
818345829;;;1799
77633333X;;;1799
776281690;;;1799
774981024;;;1799
774950013;;;1799
683682202;;;1799
683637126;265623995;;1799
683581104;;;1799
370712625;;;1799
362450986;;;1799
303864494;;;1799
302429115;;;1799
248766457;;;1799
244836949;;;1799
241645123;1228738947;;1799
222658398;;;1799
218083599;;;1799
192066331;173336523;;1799
15149391X;12456416X;;1799
15132221X;124366716;;1799
151322201;124366708;;1799
15128203X;124321577;;1799
151273308;124312144;;1799
150703384;1252330502;;1799
143803476;;;1799
134947665;;;1799
13480841X;;;1799
1129558061;;;1798
866884734;;;1798
866881891;;;1798
848356330;;;1798
818345586;;;1798
818344938;;;1798
776281682;;;1798
774981032;;;1798
732327830;;;1798
478787413;;;1798
454860609;80311415X;;1798
367332213;;;1798
180925458;;;1798
167398636;416999123;;1798
151859299;12500978X;;1798
151273294;124312136;;1798
151273286;124312128;;1798
150787472;123753929;;1798
147580137;;;1798
14136775X;15962150X;;1798
138173516;94715891X;;1798
130180998;;;1798
1152202529;;;1797
1135361339;;;1797
112956245X;;;1797
1121177840;;;1797
1108802524;;;1797
1101713720;;;1797
1100456074;;;1797
1088326447;;;1797
1087482356;;;1797
1086510933;;;1797
1005272840;;;1797
833780956;;;1797
833742817;;;1797
833729616;;;1797
776333259;;;1797
776302744;;;1797
776302736;;;1797
77624079X;;;1797
775042420;;;1797
774976497;;;1797
774974826;;;1797
774922079;;;1797
771205627;;;1797
732337763;;;1797
732267420;;;1797
683624083;;;1797
683593056;;;1797
683567063;;;1797
64124858X;;;1797
478787359;;;1797
377925993;;;1797
249184737;;;1797
238740137;269860746;;1797
236610236;264532619;;1797
232453586;249824493;;1797
212756192;;;1797
211712566;1221356550;;1797
196191556;181708663;;1797
151902577;125086989;;1797
151282048;124321593;;1797
151273316;124312152;;1797
142265373;233784985;;1797
138266190;248191985;;1797
138266182;24819187X;;1797
1152186361;;;1796
1131874331;;;1796
1108845614;;;1796
1098531191;;;1796
83374271X;;;1796
83370611X;;;1796
818337389;;;1796
776333321;;;1796
776333240;;;1796
776281674;;;1796
776243926;;;1796
776243918;;;1796
775028991;;;1796
732331595;;;1796
489071333;;;1796
429231857;;;1796
314157395;821361554;;1796
211010774;;;1796
196239729;181759217;;1796
196186420;181680076;;1796
188691677;157642631;;1796
184198933;147689651;;1796
164157395;17330625X;;1796
143359991;;;1796
139591680;124321674;;1796
13680831X;854928812;;1796
135976960;;;1796
130145920;535016832;;1796
1489873872;;;1795
1129555070;;;1795
1128078392;;;1795
1127846256;;;1795
1106680359;;;1795
1097332292;;;1795
1012549550;;;1795
833727915;;;1795
818335963;;;1795
776333313;;;1795
775064718;;;1795
774916621;;;1795
732327822;;;1795
683682512;238008606;;1795
68361827X;123862078;;1795
683587501;142117471;;1795
524550344;810540444;;1795
311247377;1238136788;;1795
232449341;24980963X;;1795
151859329;12500981X;;1795
150004486;122820703;;1795
136057578;;;1795
134476751;;;1795
13018280X;477217435;;1795
1489203885;;;1794
1127881736;;;1794
1103710478;;;1794
1090629753;;;1794
1012558924;;;1794
889917914;;;1794
889902402;;;1794
833680161;;;1794
818335521;;;1794
776333275;;;1794
774950005;;;1794
774923571;;;1794
683682091;;;1794
68360693X;;;1794
617393451;124321615;;1794
523700547;808562819;;1794
45633517X;;;1794
314207511;;;1794
31042058X;;;1794
267744781;1237074843;;1794
23877791X;;;1794
225223082;322136946;;1794
215740440;;;1794
19088133X;16922564X;;1794
184662656;148675522;;1794
167399136;416998895;;1794
157144240;327547545;;1794
157144232;327547243;;1794
147707072;140614370;;1794
146738942;;;1794
146702328;;;1794
146574176;;;1794
143602268;1170907237;;1794
141092009;227597036;;1794
129894842;;;1794
1489873732;;;1793
1326994026;;;1793
1147050627;;;1793
1135409498;;;1793
1115856685;;;1793
110128272X;;;1793
1040089038;;;1793
1020753579;;;1793
86667800X;;;1793
833714694;;;1793
819046027;;;1793
776333267;;;1793
776234404;;;1793
775064645;;;1793
77496815X;;;1793
734595565;;;1793
732266734;;;1793
683702602;;;1793
367331993;;;1793
36733187X;;;1793
244373191;;;1793
238749088;269899405;;1793
184198909;147689465;;1793
157144224;327546972;;1793
151282137;124321690;;1793
151075638;124078192;;1793
15078273X;123748917;;1793
149915853;1235232468;;1793
133983439;;;1793
1489386068;;;1792
1132494427;;;1792
111990854X;;;1792
1100579516;;;1792
1098176650;;;1792
1098176529;;;1792
1097839184;;;1792
1093946245;;;1792
1020763612;;;1792
1020763604;;;1792
1020763590;;;1792
1012524078;;;1792
88116674X;;;1792
881166731;;;1792
86687058X;;;1792
819045667;;;1792
819045233;;;1792
776334018;;;1792
77624390X;;;1792
774984767;;;1792
774981067;;;1792
774971959;;;1792
732309476;;;1792
716269813;117137206X;;1792
683694901;;;1792
683593307;;;1792
683588427;;;1792
68358359X;;;1792
608454117;947147039;;1792
59568419X;928157474;;1792
418842116;;;1792
367331691;;;1792
367331497;;;1792
314729690;;;1792
267738994;;;1792
267737556;123476747;;1792
243586426;;;1792
230090826;244762872;;1792
19444080X;;;1792
192431811;;;1792
166714690;;;1792
157144216;327546735;;1792
157144208;327546468;;1792
157144194;327546115;;1792
151859337;125009844;;1792
143465112;;;1792
142242659;247067733;;1792
14145816X;;;1792
130396567;;;1792
1489791140;;;1791
1489204814;;;1791
1132926858;;;1791
1114865346;;;1791
1076761631;;;1791
1012524094;;;1791
77633400X;;;1791
776333232;;;1791
775031984;;;1791
774905441;;;1791
732334004;;;1791
73225521X;;;1791
683646958;;;1791
455215901;;;1791
454815875;;;1791
43195187X;;;1791
33741338X;;;1791
194440796;;;1791
194440788;;;1791
19444077X;;;1791
166822043;499661311;;1791
158787501;;;1791
151859310;125009801;;1791
151859272;125009755;;1791
151379513;124431615;;1791
150403941;123304989;;1791
150192479;123058341;;1791
150035551;122856163;;1791
147728193;142118249;;1791
147199646;122848802;;1791
143091034;123062098;;1791
143091026;12306208X;;1791
138663564;;;1791
1489081313;;;1790
111176462X;;;1790
1103737929;;;1790
1096333740;;;1790
1020752130;;;1790
1012565785;;;1790
1005197938;;;1790
866764550;;;1790
833709429;;;1790
776333992;;;1790
776333933;;;1790
77625734X;;;1790
776241532;;;1790
776231316;;;1790
776231308;;;1790
774986409;;;1790
774975849;;;1790
774908777;;;1790
732272742;;;1790
34392529X;;;1790
343847949;;;1790
343835002;;;1790
337387850;;;1790
337384924;;;1790
312845766;;;1790
265358264;;;1790
151463476;124527485;;1790
150632320;123578159;;1790
141803479;;;1790
138227608;;;1790
138227306;;;1790
138193495;947945296;;1790
1547255609;;;1789
1505967392;;;1789
1489135030;;;1789
1131245849;;;1789
1129212998;;;1789
1121632866;;;1789
111057861X;;;1789
1109398247;;;1789
1102143650;;;1789
1012565793;;;1789
1012546292;;;1789
1005205469;;;1789
881171662;;;1789
866882510;;;1789
776333984;;;1789
776333925;;;1789
776333224;;;1789
776302167;;;1789
776302159;;;1789
776231294;;;1789
776231286;;;1789
775019461;;;1789
774964413;;;1789
683690728;;;1789
683685406;;;1789
683667025;;;1789
68363058X;;;1789
683626078;;;1789
683599224;;;1789
636362752;1186198192;;1789
595382312;92782924X;;1789
374065837;;;1789
317550985;1268947032;;1789
302702571;;;1789
265358221;;;1789
26535806X;;;1789
238891119;270320954;;1789
198101988;;;1789
194574075;1179251199;;1789
150178441;123041929;;1789
143025503;;;1789
142820164;;;1789
130178659;499740408;;1789
112953622X;;;1788
1129266850;;;1788
1126646172;;;1788
1119647150;;;1788
1101579706;;;1788
1093946210;;;1788
1088934781;;;1788
1088844073;;;1788
1012565777;;;1788
88554773X;;;1788
833774980;;;1788
833719521;;;1788
776333976;;;1788
77633395X;;;1788
776333941;;;1788
776333216;;;1788
776234420;;;1788
776234390;;;1788
776231278;;;1788
77623126X;;;1788
775064637;;;1788
774935014;;;1788
771206631;;;1788
732267218;;;1788
732256399;;;1788
683685562;;;1788
683569058;;;1788
343845822;;;1788
338194576;935923942;;1788
321756495;1268899860;;1788
30206138X;893490970;;1788
27941241X;;;1788
248820737;;;1788
238897443;;;1788
19205810X;173306853;;1788
181348268;;;1788
166822035;338706224;;1788
166518093;327094176;;1788
158787382;;;1788
158787072;;;1788
157162516;;;1788
156906295;802652573;;1788
151889619;125053843;;1788
151179360;124197477;;1788
150863071;123836948;;1788
150062532;122890396;;1788
150062303;122890132;;1788
14094673X;;;1788
137755554;16876086X;;1788
134539168;1254904921;;1788
065556038;;;1788
058265317;;;1788
1489219560;;;1787
1137667850;;;1787
1089595387;;;1787
1089594356;;;1787
100518139X;;;1787
833764462;;;1787
826074502;1543230652;;1787
776333666;;;1787
776231251;;;1787
775065196;;;1787
775011509;;;1787
774978295;;;1787
774955600;;;1787
732342201;;;1787
688732550;;;1787
688732518;;;1787
688732461;;;1787
595371337;927808846;;1787
343843935;;;1787
337416044;;;1787
337412472;;;1787
337393346;;;1787
33738410X;;;1787
337380112;;;1787
314427570;;;1787
216365996;;;1787
215739310;;;1787
212724428;190951273;;1787
168704633;;;1787
167397087;336380690;;1787
151274061;124312969;;1787
15025895X;123138779;;1787
150058802;122886119;;1787
147723086;;;1787
143445235;;;1787
142184764;159604095;;1787
141846933;1219510351;;1787
141314311;895175355;;1787
136055990;;;1787
135846218;;;1787
058158960;;;1787
1127883178;;;1786
1111120005;;;1786
1100109285;;;1786
1098667999;;;1786
1095914154;;;1786
1093946121;;;1786
1088445527;;;1786
1020752149;;;1786
1012586278;;;1786
101258626X;;;1786
86687481X;;;1786
821971980;;;1786
776333968;;;1786
776326163;;;1786
776326155;;;1786
776315803;;;1786
776312030;;;1786
776257331;;;1786
776257323;;;1786
776229877;;;1786
776229869;;;1786
776229850;;;1786
776229842;;;1786
775060682;;;1786
775048496;;;1786
774986395;;;1786
774911093;;;1786
771534795;;;1786
732324009;;;1786
732289793;;;1786
732264510;15962309X;;1786
732263492;;;1786
732261147;;;1786
683585673;;;1786
683568264;;;1786
644048743;1217295534;;1786
618433139;1113318325;;1786
617289328;1111621780;;1786
373201192;;;1786
337377650;;;1786
270554270;;;1786
212938053;;;1786
181617943;;;1786
167835351;;;1786
167431544;;;1786
156906449;1220537896;;1786
151582920;124663834;;1786
151274126;124313043;;1786
150062265;122890094;;1786
14755392X;1478356014;;1786
147216079;157606317;;1786
146475461;;;1786
143444883;;;1786
142468665;818989610;;1786
142359416;159603579;;1786
139339639;;;1786
137501374;816849617;;1786
135979684;;;1786
130118311;499402723;;1786
058323066;;;1786
058315594;;;1786
058267972;;;1786
058145982;123814876X;;1786
1489875565;;;1785
1345776969;;;1785
1145117120;;;1785
1132384346;;;1785
1131881095;;;1785
1130726886;;;1785
1119202922;;;1785
1115609211;;;1785
1108959563;;;1785
1107688736;;;1785
876182007;;;1785
866885404;;;1785
86677193X;;;1785
848341937;;;1785
776333917;;;1785
776315870;;;1785
776312022;;;1785
776312014;;;1785
776281666;;;1785
776257315;;;1785
776257307;;;1785
776234382;;;1785
775065730;;;1785
775048569;;;1785
775046639;;;1785
774984759;;;1785
771222211;;;1785
732280982;;;1785
683694170;;;1785
683689282;;;1785
683659502;;;1785
683649043;;;1785
683624504;;;1785
558856713;86111227X;;1785
528531107;818660805;;1785
525051104;811530051;;1785
456447792;;;1785
343925451;;;1785
336067224;;;1785
319692086;839359705;;1785
